date,future_returns,predictions,strategy_return,cumulative_return,portfolio_value,drawdown
2024-01-02,-0.0026933654066678,0,-0.0,0.0,100000.0,0.0
2024-01-03,0.0105291043267936,0,0.0,0.0,100000.0,0.0
2024-01-04,0.0202297734712937,0,0.0,0.0,100000.0,0.0
2024-01-05,0.0261615918488118,0,0.0,0.0,100000.0,0.0
2024-01-08,-0.0104009664069468,0,-0.0,0.0,100000.0,0.0
2024-01-09,-0.0132873183063512,0,-0.0,0.0,100000.0,0.0
2024-01-10,0.0131049723042577,1,0.0131049723042577,0.013104972304257778,101310.49723042578,0.0
2024-01-11,0.0321674488712273,1,0.0321674488712273,0.045693974702041285,104569.39747020413,0.0
2024-01-12,0.0428679270339866,1,0.0428679270339866,0.09052070770944787,109052.07077094479,0.0
2024-01-16,0.0628981672530832,0,0.0,0.09052070770944787,109052.07077094479,0.0
2024-01-17,0.0647033754951698,1,0.0647033754951698,0.1610810785456307,116108.10785456307,0.0
2024-01-18,0.0293695227268488,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-19,0.0044898481982609,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-22,-0.0111402309561241,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-23,-0.0365816431450392,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-24,-0.0519280223603768,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-25,-0.0376472577895865,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-26,-0.0341443521867117,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-29,-0.0211235326363975,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-30,0.0067007745380414,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-01-31,0.0271692485155958,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-02-01,0.0078132019576857,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-02-02,0.0174388109674403,0,0.0,0.1610810785456307,116108.10785456307,0.0
2024-02-05,-0.0015515376914304,0,-0.0,0.1610810785456307,116108.10785456307,0.0
2024-02-06,-0.0212567606597446,1,-0.0212567606597446,0.13640025595242822,113640.02559524283,-0.02125676065974449
2024-02-07,-0.0265297957013542,0,-0.0,0.13640025595242822,113640.02559524283,-0.02125676065974449
2024-02-08,-0.0224373918454567,0,-0.0,0.13640025595242822,113640.02559524283,-0.02125676065974449
2024-02-09,-0.0346305776833577,1,-0.0346305776833577,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-12,-0.0298690845570437,0,-0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-13,-0.0146993882403894,0,-0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-14,0.0011946165426524,0,0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-15,-0.0072879771093946,0,-0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-16,-0.0063080258235203,0,-0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-20,0.005893358119952,0,0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-21,-0.0049364050169976,0,-0.0,0.09704605860928006,109704.605860928,-0.05515120444177847
2024-02-22,-0.0196343221087768,1,-0.0196343221087768,0.07550630292638139,107550.63029263813,-0.07370267003785844
2024-02-23,-0.0156696353518551,1,-0.0156696353518551,0.05865351134090324,105865.35113409032,-0.08821741142576212
2024-02-26,-0.0334511680834315,1,-0.0334511680834315,0.0232403147909237,102324.03147909237,-0.11871760405170519
2024-02-27,-0.0684991202936512,1,-0.0684991202936512,-0.046850746621253325,95314.92533787467,-0.17908467290444466
2024-02-28,-0.0677984315803629,1,-0.0677984315803629,-0.11147277106232623,88852.72289376738,-0.23474144454180382
2024-02-29,-0.0650070195289135,0,-0.0,-0.11147277106232623,88852.72289376738,-0.23474144454180382
2024-03-01,-0.0497049565987502,0,-0.0,-0.11147277106232623,88852.72289376738,-0.23474144454180382
2024-03-04,-0.013420802662209,0,-0.0,-0.11147277106232623,88852.72289376738,-0.23474144454180382
2024-03-05,0.0182812261058442,1,0.0182812261058442,-0.09522940388891732,90477.05961110827,-0.22075157986004074
2024-03-06,0.0118849433811643,1,0.0118849433811643,-0.08447625658119484,91552.37434188051,-0.21149025650681566
2024-03-07,0.0236685786167698,1,0.0236685786167698,-0.06280711088456747,93719.28891154325,-0.19282735165285825
2024-03-08,0.0110701143652141,1,0.0110701143652141,-0.052432278419794254,94756.77215802057,-0.18389185812318268
2024-03-11,0.0056149958519617,1,0.0056149958519617,-0.047111689593668515,95288.83104063314,-0.1793094142917921
2024-03-12,0.0164520518000932,1,0.0164520518000932,-0.031434721751160244,96856.52782488397,-0.16580737026387177
2024-03-13,0.0440601495092038,1,0.0440601495092038,0.011240409217907255,101124.04092179073,-0.129052718278222
2024-03-14,-0.0094220709901611,1,-0.0094220709901611,0.00171243029413648,100171.24302941364,-0.1372588453952926
2024-03-15,-0.0019695589750329,1,-0.0019695589750329,-0.00026050141335143273,99973.94985866486,-0.13895806497947458
2024-03-18,-0.0165207116382216,1,-0.0165207116382216,-0.01677690938284171,98322.30906171583,-0.153183090496365
2024-03-19,-0.0361766966923965,1,-0.0361766966923965,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-20,-0.0299995695690679,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-21,0.000641942901616,0,0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-22,-0.0130601676426993,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-25,-0.0117649584615473,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-26,-0.0003535343123984,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-27,-0.0259071232494937,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-03-28,-0.01107993730647,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-04-01,-0.0092926079261812,0,-0.0,-0.05234667291305939,94765.33270869406,-0.1838181289854707
2024-04-02,0.004915925847154,1,0.004915925847154,-0.04768807942829112,95231.19205717089,-0.1798058394297717
2024-04-03,-0.0110226705359343,1,-0.0110226705359343,-0.05818509997619592,94181.49000238041,-0.18884656943723457
2024-04-04,0.0368439046678743,0,0.0,-0.05818509997619592,94181.49000238041,-0.18884656943723457
2024-04-05,0.041101673272911,1,0.041101673272911,-0.01947493167185821,98052.50683281418,-0.1555068061600429
2024-04-08,0.0251707585747542,1,0.0251707585747542,0.005205628099523851,100520.56280995239,-0.13425027185987418
2024-04-09,-0.0017091369703058,1,-0.0017091369703058,0.0034875939977794257,100348.75939977795,-0.1357299567272707
2024-04-10,0.0013113569890155,1,0.0013113569890155,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-11,-0.0457040721989874,0,-0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-12,-0.0654206717014053,0,-0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-15,-0.0396664209136994,0,-0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-16,-0.0146416154902404,0,-0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-17,0.0060713482031307,0,0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-18,0.0170619027725085,0,0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-19,0.0260605870399284,0,0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-22,0.0461890630930224,0,0.0,0.0048035244675588284,100480.35244675589,-0.13459659016562822
2024-04-23,0.0205514023300048,1,0.0205514023300048,0.02545364596149846,102545.36459614984,-0.1168113365123641
2024-04-24,0.0016565314636571,1,0.0016565314636571,0.027152342190555734,102715.23421905558,-0.11534830670295133
2024-04-25,0.018482510745382,1,0.018482510745382,0.046136696392237164,104613.66963922372,-0.0989977222756681
2024-04-26,0.0831660606616733,1,0.0831660606616733,0.13313976434479646,113313.97643447964,-0.024064912190140574
2024-04-29,0.0473199559123562,0,0.0,0.13313976434479646,113313.97643447964,-0.024064912190140574
2024-04-30,0.0708622559829574,0,0.0,0.13313976434479646,113313.97643447964,-0.024064912190140574
2024-05-01,0.0793857437985308,1,0.0793857437985308,0.22309490736500015,122309.49073650001,0.0
2024-05-02,0.0666938390653526,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-03,-0.0004456811121806,0,-0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-06,0.0265404124277244,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-07,0.0289703790113673,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-08,0.0396045749746039,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-09,0.0299476713814863,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-10,0.0372574934591538,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-13,0.0255529052929213,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-14,0.0262499671536677,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-15,0.0062196639476661,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-16,-0.0155918701236897,0,-0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-17,0.0005794209114369,0,0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-20,-0.0054961641413174,0,-0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-21,-0.0107096648233776,0,-0.0,0.22309490736500015,122309.49073650001,0.0
2024-05-22,0.0020429110486748,0,0.0,0.22309490736500015,122309.49073650001,0.0
