date,close,high,low,open,volume,ret_5,ret_10,ret_log,sma_5,sma_10,ema_5,ema_9,ema_10,ema_12,ema_26,dist_from_SMA_5,dist_from_SMA_10,dist_from_EMA_5,dist_from_EMA_10,MACD,MACD_Signal,rolling_STD,historical_volatility,realised_volatility,vol_change,rsi,atr%,body_size,upper_wick,lower_wick
2020-01-31,74.53987884521484,77.71163064497078,74.24606365244907,77.29017484753824,199588400,-0.027646238105820786,-0.018176725940303062,-0.04535206082019548,76.31289367675781,76.46173248291015,76.27624529019694,76.20856372468478,76.15086381746664,76.01548330184174,75.04931915760278,-0.023233489730490497,-0.02513484295068592,-0.022764183506621224,-0.021155176599353155,0.9661641442389595,0.9968098717549909,1.9101812439377464,0.2823522789786606,0.07782012713504255,0.5747464163757898,40.781010960064556,0.02214809195658972,2.7502960023233953,0.421455797432543,0.29381519276577706
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,-0.0009386393011372451,-0.03159424856141979,-0.002749913690628446,76.29892578125,76.2192138671875,75.62922425677843,75.83388741773611,75.82073988518933,75.75697543847245,74.9964201229612,-0.025737499856009472,-0.024718592355584216,-0.01711034430874836,-0.019593025569222988,0.7605553155112545,0.9495589605062438,1.7267505148114584,0.27972282850695945,0.07725342273773209,-0.1292660294886877,40.18159185839749,0.023230763296660042,1.0500310054373045,1.1632149535557375,0.5009271657083758
2020-02-04,76.78925323486328,76.97951249486786,75.53211041551288,75.93670624597806,136616400,0.0036511650123161044,0.007201975952651374,0.03248034353142004,76.35479583740235,76.27412185668945,76.01590058280672,76.02496058116154,75.99683322149367,75.91578740714796,75.12922257569468,0.00568998178432838,0.006753684809924237,0.010173564295461046,0.010427013597528333,0.7865648314532763,0.9169601346956503,1.578714278066199,0.2996594103836419,0.08342706459853048,-0.21389229660897968,49.722825339064144,0.02334176103957533,0.8525469888852228,0.1902592600045807,0.4045958304651833
2020-02-05,77.41544342041016,78.21259669148851,76.81336346644713,77.91396003658885,118826800,-0.00891004491015035,0.011803614514175997,0.008121589563682348,76.2156005859375,76.36443405151367,76.48241486200787,76.30305714901127,76.25476234856939,76.1465037168806,75.29857226789582,0.015742745910921084,0.013763074158154576,0.01219925600003198,0.015221096179346307,0.8479314489847809,0.9031543975534765,1.3548348751906083,0.2986936192644258,0.08368879779402562,-0.13021569884728335,51.83395295078262,0.022812444092582478,0.4985166161786907,0.29863665489966706,0.6020799539630275
2020-02-06,78.32093811035156,78.32334878116308,77.12882464602528,77.68514573263211,105425600,0.004137181164831194,0.018732415876800523,0.011628687977924863,76.28013916015625,76.50845031738281,77.0952559447891,76.70663334127933,76.63043066889341,76.4810320851069,75.52245121918884,0.026754001404094046,0.023690034047872403,0.01589828259264382,0.0220605238245696,0.9585808659180657,0.9142396912263944,1.2776150345842525,0.29673034772441526,0.08297221265782927,-0.11277927201607718,54.79019883381645,0.022027484322815354,0.6357923777194543,0.0024106708115141373,0.5563210866068289
2020-02-07,77.25635528564453,78.06988383321008,76.76630651671353,77.82123854389138,117684000,0.03644326342507975,0.007789506181256067,-0.01368579460237022,76.82343444824218,76.5681640625,77.14895572507425,76.81657773015237,76.74423514466633,76.6003125774973,75.65088855744482,0.00563527054617714,0.008987955132145798,0.0013921064719658958,0.006673076355674507,0.9494240200524899,0.9212765569916136,1.2415980749115896,0.295130834734223,0.08142428065485977,0.11627536385849346,50.83945674033937,0.022173306351143684,0.5648832582468515,0.2486452893187021,0.490048768931004
2020-02-10,77.62327575683594,77.62327575683594,75.76447362748293,75.84413352382079,109348800,0.04423334240969212,0.04325318395494859,0.004738146070846786,77.48105316162109,76.88998947143554,77.30706240232814,76.9779173354891,76.90406071051535,76.75769152816478,75.79699131295527,0.0018355790146292708,0.009536823849778397,0.004090355326944515,0.009352107543811976,0.9607002152095134,0.9291612886351936,1.2178447529956384,0.2953164280630875,0.08153075324968856,-0.07082696033445501,52.12089876708253,0.02220263438776083,1.7791422330151505,0.0,0.07965989633785853
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,0.004762580848870934,0.008431134829750997,-0.006051353368949491,77.55419616699218,76.95449600219726,77.25636435545835,77.01332752073503,76.94968026527961,76.81881102563463,75.89758219804887,-0.005147727976108531,0.0026050753358941633,-0.0013124626635686507,0.0026678213051882843,0.9212288275857645,0.9275747964253078,1.2277105365327317,0.28748317244748983,0.07897474227692479,-0.137409829828951,50.31808749409325,0.0219017656696947,0.9632049641437703,0.07241810239422364,0.21726167423277332
2020-02-12,78.98722076416016,78.99204618157108,77.60397618630914,77.60397618630914,113730400,0.020303149789046016,0.011212202902457724,0.02347010273740531,77.8685516357422,77.04207611083984,77.83331649169229,77.40810616942007,77.32014217416697,77.15241252386932,76.12644431405711,0.014366122201051526,0.02524782237853829,0.014825325766389948,0.02156072846113002,1.0259682098122056,0.9472534791026874,1.3142588233849917,0.2933667194307856,0.08125894030242006,0.20575213733206676,56.637688915397106,0.021526871368851366,1.3832445778510163,0.004825417410927457,0.0
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,0.0013256790927285156,0.0054683448321328765,-0.007146299680909628,77.88931732177734,77.0847282409668,78.03046650797064,77.61143824364152,77.52098296805067,77.34815929566285,76.29669040490676,0.006874488532720709,0.017383966060976284,0.00505315487914484,0.011658566982427877,1.051468890756098,0.9680965614333696,1.3068689552185262,0.2944012102435057,0.08145946493769729,-0.16691051820797254,54.35211953441816,0.02097907386924241,0.16415263843673245,0.32589625107824816,0.20277808872501168
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,0.015373668854238298,0.05237719894318271,0.00024609564042740717,78.12686004638672,77.47514724731445,78.16833397487757,77.7779643766515,77.6888167754399,77.51676077459032,76.45575547926117,0.004060176770400647,0.012506225490401236,0.003527450564604012,0.009721503874033307,1.0610052953291529,0.9866783082125263,1.3346939961268611,0.29196859728104774,0.08050305462240076,-0.1544524610649769,54.42009784544081,0.020163794084007418,0.05070003839510662,0.24864530599725754,0.45624877620564064
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,-0.0079301270522667,0.03595243933217018,-0.018480283066520047,78.00374755859374,77.74240036010742,77.78146042254208,77.62391416489541,77.56497978315466,77.4384457812489,76.49664124508413,-0.012769056255591615,-0.009450274738536718,-0.00994770605318625,-0.007184511191023179,0.9418045361647671,0.9777035538029745,1.3338101907383113,0.29811080036968357,0.08185986246571651,0.9039364102973777,48.61802564366204,0.021388034799520367,0.8787122398737495,0.1810526175185032,0.1810526175185032
2020-02-19,78.1230239868164,78.3523603305451,77.24914422153864,77.24914422153864,93984000,0.012546900697488317,0.017369237175334007,0.0143792249718701,78.19735870361328,77.87577743530274,77.89531494396687,77.72373612927962,77.6664423656386,77.54376550518236,76.61711404076802,-0.0009506039338056891,0.0031748838940205168,0.0029232700710349504,0.005878750297693644,0.9266514644143484,0.9674931359252493,1.3451825848275456,0.30101703774604627,0.08283453417718485,-0.3838375361893174,52.82397221978558,0.02080620807224486,0.8738797652777635,0.22933634372868994,0.0
2020-02-20,77.3215560913086,78.37166303401608,76.81702354297988,77.88403050271104,100566000,-0.02108777415811225,-0.0012127726065159772,-0.010312035290068874,77.86422576904297,77.86638870239258,77.70406199308078,77.64330012168541,77.60373577030587,77.50957944150947,76.66929493340066,-0.006969435223616307,-0.00699701912678081,-0.004922598535534111,-0.003636161019779842,0.8402845081088088,0.9420514103619613,1.3395271904940895,0.30360258127226275,0.08339784951067775,0.07003319713993861,49.6770656035097,0.02095646436752842,0.562474411402448,0.4876325313050387,0.5045325483287115
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000,-0.03638392959203118,-0.035106483914074116,-0.022895333168400193,77.29354553222656,77.59143142700195,76.9931631142023,77.2289131686374,77.23421387687668,77.21139265919192,76.58796681658916,-0.02228103477363716,-0.026034653999870035,-0.018466545602861765,-0.021529946858554243,0.6234258426027566,0.8783262968101204,1.382895991513197,0.3141633885632049,0.08634997746387035,0.2882485134140764,43.572568471232046,0.02218053983105211,1.3446193098560002,0.44177254591231474,0.615575999588799
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200,-0.08238200217646274,-0.0682748469432346,-0.04866567278753334,76.00106964111328,77.06396484375,75.32267189384321,76.17946842553494,76.27920943619455,76.40682293518161,76.24676108596218,-0.05288583709371855,-0.06594879203178164,-0.044355601795789394,-0.05633933564380089,0.16006184921943145,0.7346734072919827,1.7885037779381232,0.35716531169577564,0.09907743109763506,0.7150778825817805,34.27067838181523,0.027329381280238176,0.2220870808493629,1.448420911286135,1.9384696915893045
2020-02-25,69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600,-0.09692779204155522,-0.10408926938803675,-0.03445894797146075,74.50823211669922,76.25598983764648,73.39628982782907,74.85227987958811,75.05453966521385,75.35093105219994,75.75022513113541,-0.06663299181656088,-0.08802540175712012,-0.05249262791165587,-0.07342679062446247,-0.3992940789354691,0.5078799100464924,2.369445360580149,0.36207980106990617,0.10056315207970008,0.038157439944697336,29.641992117726957,0.030333327833526696,3.106869620088716,0.3814143359792581,0.4707324633702257
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800,-0.09569880722569057,-0.08435262995933102,0.015739192983776344,73.01297607421876,75.60516738891602,72.47977447669074,74.0111726585533,74.25312223052298,74.62720993254058,75.37218947508198,-0.03240838035966899,-0.06558313122958412,-0.02529023738706817,-0.0485687112915294,-0.744979542541401,0.2573080195289137,2.7151498314802027,0.3505396048252596,0.09788994441387606,-0.14140673228319145,33.98659757426459,0.03050438719131822,1.4773884707393705,1.2625431532357538,0.007241811442781909
