date,close,high,low,open,volume,ret_5,ret_10,ret_log,sma_5,sma_10,ema_5,ema_9,ema_10,ema_12,ema_26,dist_from_SMA_5,dist_from_SMA_10,dist_from_EMA_5,dist_from_EMA_10,MACD,MACD_Signal,rolling_STD,historical_volatility,realised_volatility,vol_change,rsi,atr%,body_size,upper_wick,lower_wick,label,future_returns,exit_price,exit_date,exit_reason,holding_days
2020-01-31,74.53987884521484,77.71163064497078,74.24606365244907,77.29017484753824,199588400,-0.0276462381058207,-0.018176725940303,-0.0453520608201954,76.31289367675781,76.46173248291015,76.27624529019694,76.20856372468478,76.15086381746664,76.01548330184174,75.04931915760278,-0.0232334897304904,-0.0251348429506859,-0.0227641835066212,-0.0211551765993531,0.9661641442389596,0.9968098717549908,1.9101812439377464,0.2823522789786606,0.0778201271350425,0.5747464163757898,40.78101096006456,0.0221480919565897,2.7502960023233958,0.421455797432543,0.293815192765777,-1.0,-0.022148091956589712,72.88896275411797,2020-02-03,STOP LOSS HIT,1.0
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,-0.0009386393011372,-0.0315942485614197,-0.0027499136906284,76.29892578125,76.2192138671875,75.62922425677843,75.83388741773611,75.82073988518933,75.75697543847245,74.9964201229612,-0.0257374998560094,-0.0247185923555842,-0.0171103443087483,-0.0195930255692229,0.7605553155112545,0.9495589605062438,1.7267505148114584,0.2797228285069594,0.077253422737732,-0.1292660294886877,40.18159185839749,0.02323076329666,1.0500310054373043,1.1632149535557377,0.5009271657083758,1.0,0.04646152659331988,77.78890823407865,2020-02-05,TAKE PROFIT HIT,2.0
2020-02-04,76.78925323486328,76.97951249486786,75.53211041551288,75.93670624597806,136616400,0.0036511650123161,0.0072019759526513,0.03248034353142,76.35479583740235,76.27412185668945,76.01590058280672,76.02496058116154,75.99683322149367,75.91578740714796,75.12922257569468,0.0056899817843283,0.0067536848099242,0.010173564295461,0.0104270135975283,0.7865648314532763,0.9169601346956504,1.578714278066199,0.2996594103836419,0.0834270645985304,-0.2138922966089796,49.722825339064144,0.0233417610395753,0.8525469888852228,0.1902592600045807,0.4045958304651833,0.0,0.004762580848871044,77.15496826171875,2020-02-11,TIME,5.0
2020-02-05,77.41544342041016,78.21259669148851,76.81336346644713,77.91396003658885,118826800,-0.0089100449101503,0.0118036145141759,0.0081215895636823,76.2156005859375,76.36443405151367,76.48241486200787,76.30305714901127,76.25476234856939,76.1465037168806,75.29857226789582,0.015742745910921,0.0137630741581545,0.0121992560000319,0.0152210961793463,0.8479314489847809,0.9031543975534764,1.3548348751906083,0.2986936192644258,0.0836887977940256,-0.1302156988472833,51.83395295078262,0.0228124440925824,0.4985166161786907,0.298636654899667,0.6020799539630275,0.0,0.02030314978904596,78.98722076416016,2020-02-12,TIME,5.0
2020-02-06,78.32093811035156,78.32334878116308,77.12882464602528,77.68514573263211,105425600,0.0041371811648311,0.0187324158768005,0.0116286879779248,76.28013916015625,76.50845031738281,77.0952559447891,76.70663334127933,76.63043066889341,76.4810320851069,75.52245121918884,0.026754001404094,0.0236900340478724,0.0158982825926438,0.0220605238245696,0.9585808659180656,0.9142396912263944,1.2776150345842523,0.2967303477244152,0.0829722126578292,-0.1127792720160771,54.79019883381645,0.0220274843228153,0.6357923777194543,0.0024106708115141,0.5563210866068289,-1.0,-0.02202748432281535,76.5957248739776,2020-02-10,STOP LOSS HIT,2.0
2020-02-07,77.25635528564453,78.06988383321008,76.76630651671353,77.82123854389138,117684000,0.0364432634250797,0.007789506181256,-0.0136857946023702,76.82343444824218,76.5681640625,77.14895572507425,76.81657773015237,76.74423514466633,76.6003125774973,75.65088855744482,0.0056352705461771,0.0089879551321457,0.0013921064719658,0.0066730763556745,0.94942402005249,0.9212765569916136,1.2415980749115896,0.295130834734223,0.0814242806548597,0.1162753638584934,50.83945674033937,0.0221733063511436,0.5648832582468515,0.2486452893187021,0.490048768931004,0.0,0.015373668854238211,78.4440689086914,2020-02-14,TIME,5.0
2020-02-10,77.62327575683594,77.62327575683594,75.76447362748293,75.84413352382079,109348800,0.0442333424096921,0.0432531839549485,0.0047381460708467,77.48105316162109,76.88998947143554,77.30706240232814,76.9779173354891,76.90406071051535,76.75769152816478,75.79699131295527,0.0018355790146292,0.0095368238497783,0.0040903553269445,0.0093521075438119,0.9607002152095134,0.9291612886351936,1.2178447529956384,0.2953164280630875,0.0815307532496885,-0.070826960334455,52.12089876708253,0.0222026343877608,1.7791422330151505,0.0,0.0796598963378585,0.0,-0.007930127052266716,77.0077133178711,2020-02-18,TIME,5.0
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,0.0047625808488709,0.0084311348297509,-0.0060513533689494,77.55419616699218,76.95449600219726,77.25636435545835,77.01332752073503,76.94968026527961,76.81881102563463,75.89758219804887,-0.0051477279761085,0.0026050753358941,-0.0013124626635686,0.0026678213051882,0.9212288275857644,0.9275747964253078,1.2277105365327317,0.2874831724474898,0.0789747422769247,-0.137409829828951,50.31808749409325,0.0219017656696947,0.9632049641437704,0.0724181023942236,0.2172616742327733,0.0,0.012546900697488424,78.1230239868164,2020-02-19,TIME,5.0
2020-02-12,78.98722076416016,78.99204618157108,77.60397618630914,77.60397618630914,113730400,0.020303149789046,0.0112122029024577,0.0234701027374053,77.8685516357422,77.04207611083984,77.83331649169229,77.40810616942007,77.32014217416697,77.15241252386932,76.12644431405711,0.0143661222010515,0.0252478223785382,0.0148253257663899,0.02156072846113,1.0259682098122056,0.9472534791026874,1.3142588233849917,0.2933667194307856,0.08125894030242,0.2057521373320667,56.63768891539711,0.0215268713688513,1.3832445778510165,0.0048254174109274,0.0,-1.0,-0.021526871368851255,77.28687302298702,2020-02-18,STOP LOSS HIT,3.0
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,0.0013256790927285,0.0054683448321328,-0.0071462996809096,77.88931732177734,77.0847282409668,78.03046650797064,77.61143824364152,77.52098296805067,77.34815929566285,76.29669040490676,0.0068744885327207,0.0173839660609762,0.0050531548791448,0.0116585669824278,1.051468890756098,0.9680965614333696,1.3068689552185262,0.2944012102435057,0.0814594649376972,-0.1669105182079725,54.35211953441816,0.0209790738692424,0.1641526384367324,0.3258962510782481,0.2027780887250116,-1.0,-0.020979073869242283,76.77948757009554,2020-02-18,STOP LOSS HIT,2.0
